标注                       实际行号           判定
--------------------------------------------------------------
[C1] 标 314–319           (314, 315)     命中
[C2] 标 490–520           (497, 497)     命中
[C3] 标 691–694           (689, 690)     命中
[C3] 标 698–700           (703, 704)     命中
[C6] 标 388–393           (390, 391)     命中
[C6] 标 388–393           (389, 389)     命中
[C6] 标 537–540           (544, 545)     命中
[C7] 标 542–570           (569, 570)     命中
[C7] 标 542–570           (567, 567)     命中
[C11] 标 404–410          (20, 20)       命中
[N1] 标 18–19             (18, 19)       命中
[N1] 标 133–140           (19, 19)       命中
[N2] 标 320–322           (320, 321)     命中
[N3] 标 320               (13, 13)       命中
[N5] 标 691–700           (690, 691)     命中
[N9] 标 35–38             None           **未找到**
[N9] 标 139–140           (21, 21)       命中
[F7] 标 388–393           (392, 392)     命中
[4.1] 标 586–588          (586, 586)     命中
[3.3] 报告 L550–551        (551, 551)     命中
[3.3] 报告 L576–579        (577, 577)     命中
